alpha_th,cap_th,alpha_lgbm,cap_lgbm,cf,overall,B1,B2,B3,B4
0.8,1.3,0.0,2.0,0.98,0.5669,0.5994,0.5702,0.6767,0.4214
0.8,1.3,0.0,1.5,0.98,0.5669,0.5994,0.5702,0.6767,0.4214
0.8,1.3,0.0,3.0,0.98,0.5669,0.5994,0.5702,0.6767,0.4214
0.8,1.3,0.4,2.0,0.85,0.5668,0.6236,0.5639,0.64,0.4396
0.8,1.1,0.4,1.1,0.97,0.5667,0.611,0.5474,0.6832,0.4252
0.6,1.5,0.4,2.0,0.86,0.5667,0.6266,0.569,0.6284,0.4425
0.0,1.3,0.4,1.5,0.94,0.5666,0.6382,0.5493,0.6299,0.449
0.0,1.5,0.4,1.5,0.94,0.5666,0.6382,0.5493,0.6299,0.449
0.0,1.2,0.4,1.5,0.94,0.5666,0.6382,0.5493,0.6299,0.449
0.0,1.1,0.4,1.5,0.94,0.5666,0.6382,0.5493,0.6299,0.449
0.0,2.0,0.4,1.5,0.94,0.5666,0.6382,0.5493,0.6299,0.449
0.4,1.2,0.4,2.0,0.88,0.5665,0.6303,0.5503,0.6394,0.446
0.6,1.1,0.4,2.0,0.87,0.5665,0.6272,0.5436,0.6522,0.4431
0.6,1.2,0.4,2.0,0.87,0.5664,0.628,0.5536,0.6401,0.4437
0.4,1.1,0.4,2.0,0.88,0.5664,0.6297,0.5436,0.6466,0.4456
0.8,1.1,0.4,2.0,0.86,0.5663,0.6245,0.5435,0.6564,0.4407
0.0,1.1,0.4,1.3,0.95,0.566,0.6326,0.5411,0.6549,0.4357
0.0,1.5,0.4,1.3,0.95,0.566,0.6326,0.5411,0.6549,0.4357
0.0,2.0,0.4,1.3,0.95,0.566,0.6326,0.5411,0.6549,0.4357
0.0,1.2,0.4,1.3,0.95,0.566,0.6326,0.5411,0.6549,0.4357
0.0,1.3,0.4,1.3,0.95,0.566,0.6326,0.5411,0.6549,0.4357
0.8,1.2,0.4,2.0,0.86,0.5659,0.6257,0.5567,0.6399,0.4414
